Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold
INV-42316900106,2021-11-27,HY-VEE #7 / CEDAR RAPIDS,52411,luxco inc,54446,3,24.66,2.25
INV-42316900001,2021-11-27,HY-VEE #7 / CEDAR RAPIDS,52411,pernod ricard usa,4084,6,251.82,4.5
INV-42220900111,2021-11-25,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,E & J GALLO WINERY,31475,12,144.0,9.0
INV-42316900117,2021-11-27,HY-VEE #7 / CEDAR RAPIDS,52411,luxco inc,63530,6,54.0,10.5
INV-42336300019,2021-11-27,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PHILLIPS BEVERAGE,41604,12,126.0,9.0
INV-42220200029,2021-11-25,HY-VEE FOOD STORE / CORALVILLE,52241,REMY COINTREAU USA INC,49189,24,266.88,4.8
INV-42217300117,2021-11-25,HY-VEE #7 / CEDAR RAPIDS,52411,luxco inc,68846,,40.5,2.25
INV-42323300018,2021-11-27,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,43352,12,148.68,9.0
INV-42336300197,2021-11-27,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,HEAVEN HILL BRANDS,11773,8,18.72,1.6
INV-42278600168,2021-11-26,HY-VEE FOOD STORE / CEDAR FALLS,50613,"mast-jagermeister us, inc",88372,2,49.3,1.5
INV-42316900146,2021-11-27,HY-VEE #7 / CEDAR RAPIDS,52411,heaven hill brands,76478,,180.0,9.0
INV-42319700003,2021-11-27,HY-VEE #4 / WDM,50265,"MAST-JAGERMEISTER US, INC",65251,1,44.3,0.05
INV-42219600002,2021-11-25,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,PARK STREET IMPORTS,88367,2,120.0,1.5
INV-42326400023,2021-11-27,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,SAZERAC COMPANY  INC,101582,4,80.64,0.2
INV-42268400159,2021-11-26,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,LUXCO INC,82126,3,21.33,2.25
INV-42319700045,2021-11-27,HY-VEE #4 / WDM,50265,PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO,65144,6,94.5,4.5
INV-42220800018,2021-11-25,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,PRESTIGE WINE & SPIRITS GROUP / UNITED STATES DISTILLED PRODUCTS CO,75212,1,7.26,0.05
INV-42321000041,2021-11-27,HY-VEE FOOD STORE / CORALVILLE,52241,PERNOD RICARD USA,67528,6,238.32,10.5
INV-42323300012,2021-11-27,HY-VEE #3 / BDI / DES MOINES,50320,phillips beverage,41604,12,126.0,9.0
INV-42359100002,2021-11-29,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,36889,12,71.52,12.0
INV-42278400008,2021-11-26,HY-VEE FOOD STORE / CEDAR FALLS,50613,luxco inc,36301,,24.8,0.2
INV-42359600012,2021-11-29,HY-VEE FOOD STORE #1 / MASON CITY,50401,JIM BEAM BRANDS,20286,4,33.0,3.0
INV-42355400111,2021-11-29,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,82787,12,141.72,12.0
INV-42316900010,2021-11-27,HY-VEE #7 / CEDAR RAPIDS,52411,sazerac company  inc,12872,3,22.5,2.25
INV-42355400075,2021-11-29,HY-VEE #3 / BDI / DES MOINES,50320,william grant & sons inc,5635,6,171.0,4.5
INV-42355400009,2021-11-29,HY-VEE #3 / BDI / DES MOINES,50320,proximo,15830,12,252.0,9.0
INV-42359300038,2021-11-29,HY-VEE FOOD STORE #1 / MASON CITY,50401,PROXIMO,58872,6,78.66,10.5
INV-42278600135,2021-11-26,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,64870,,129.6,9.6
INV-42336300012,2021-11-27,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,SAZERAC COMPANY  INC,81124,10,77.4,0.5
INV-42278400025,2021-11-26,HY-VEE FOOD STORE / CEDAR FALLS,50613,proximo,87401,1,17.25,0.05
INV-42359400017,2021-11-29,HY-VEE FOOD STORE #1 / MASON CITY,50401,PERNOD RICARD USA,5842,2,82.44,1.5
INV-42336300065,2021-11-27,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PERNOD RICARD USA,67528,6,238.32,10.5
INV-42321000116,2021-11-27,HY-VEE FOOD STORE / CORALVILLE,52241,DIAGEO AMERICAS,77847,12,148.56,9.0
INV-42452800114,2021-12-03,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,DIAGEO AMERICAS,37991,12,134.52,0.6
INV-42452800130,2021-12-03,HY-VEE WINE AND SPIRITS / BETTENDORF,52722,SAZERAC COMPANY  INC,35317,60,357.6,60.0
INV-42443700107,2021-12-03,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,LUXCO INC,45275,12,72.0,9.0
INV-42355400126,2021-11-29,HY-VEE #3 / BDI / DES MOINES,50320,jim beam brands,88556,12,189.0,9.0
