Invoice/Item Number,Date,Store Name,Zip Code,Vendor Name,Item Number,Bottles Sold,Sale,Volume Sold (Liters)
INV-48614900048,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,jim beam brands,28718,,90.0,10.5
INV-48603500047,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,LAIRD & COMPANY,23826,12,63.0,9.0
INV-48689100066,2022-06-27,HY-VEE #3 / BDI / DES MOINES,50320,bacardi usa inc,43507,24,360.0,18.0
INV-48603500043,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,19477,,810.0,24.0
INV-48614900145,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,sazerac company  inc,59037,5,32.7,5.0
INV-48606000132,2022-06-23,HY-VEE #3 / BDI / DES MOINES,50320,diageo americas,87485,36,1619.64,27.0
INV-48630000088,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,PROXIMO,46499,1,23.72,1.75
INV-48603500149,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,LONELY OAK DISTILLERY,26789,,270.0,4.5
INV-48603500031,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,JIM BEAM BRANDS,10627,12,174.84,12.0
INV-48629900035,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,SAZERAC COMPANY  INC,38088,6,84.96,10.5
INV-48630000041,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,PHILLIPS BEVERAGE,15582,,45.33,2.25
INV-48614900005,2022-06-23,HY-VEE FOOD STORE / CEDAR FALLS,50613,diageo americas,10834,2,26.22,0.75
INV-48689100119,2022-06-27,HY-VEE #3 / BDI / DES MOINES,50320,levecke corporation,87389,12,133.8,12.0
INV-48704000017,2022-06-27,HY-VEE #3 FOOD & DRUGSTORE / DAVENPORT,52807,JIM BEAM BRANDS,43848,12,135.0,21.0
INV-48606600122,2022-06-23,HY-VEE FOOD STORE #2 / STATE ANKENY,50023,MISSISSIPPI RIVER DISTIL,80236,12,183.12,9.0
INV-48603500046,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,INTERCONTINENTAL PACKAGING COMPANY/PRESTIGE BEVERAGE GROUP,15247,12,119.52,12.0
INV-48630000146,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401,LUXCO INC,28032,1,15.0,0.75
INV-48603500113,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,PROXIMO,58842,6,78.66,10.5
INV-48630000033,2022-06-23,HY-VEE FOOD STORE #1 / MASON CITY,50401a,PATERNO IMPORTS LTD / TERLATO WINES INTERNATIONAL,67866,2,42.0,1.5
INV-48603500179,2022-06-23,HY-VEE FOOD STORE #2 / COUNCIL BLUFFS,51503,WINESOURCE INTERNATIONAL INC.,26185,6,338.22,4.5
